fi	sv	en
varapuhemies	Deputy Speaker of Parliament	
varata puheenvuoro		anmäla sig för inlägg
varata puheenvuoro		anmäla sig till talarlistan
varata puheenvuoro		begära ordet
varata puheenvuoro	request a speaking turn	
varata puheenvuoro	request the floor	
varaumalausuma		reservationsuttalande
varaumalausuma	reservation statement	
vas		Vänsterförbundets riksdagsgrupp
vas		vänst
vas	Left Alliance Parliamentary Group	
vastaehdotus		motförslag
vastaehdotus	counter-proposal	
vastalause		reservation
vastalause	protest	
vastaus kirjalliseen kysymykseen		SSS
vastaus kirjalliseen kysymykseen		spörsmålssvar
vastaus kirjalliseen kysymykseen		svar på ett skriftligt spörsmål
vastaus kirjalliseen kysymykseen	reply to a written question	
vastaus välikysymykseen		interpellationssvar
vastaus välikysymykseen		svar på interpellation
vastaus välikysymykseen	reply to an interpellation	
vastauspuheenvuoro		replik
vastauspuheenvuoro	comment	
vastauspuheenvuoro	reply	
vastauspuheenvuoro	response	
vastine		ministeriets kommentarer
vastine		ministeriets svar
vastine	ministry’s reply	
verojaosto		SkD
verojaosto		skattedelegationen
verojaosto	Tax Sub-committee	
vertausluku		jämförelsetal
vertausluku	comparative index	
vihr		Gröna riksdagsgruppen
vihr		gröna
vihr	Green Parliamentary Group	
viiden kuudesosan enemmistö		fem sjättedels majoritet
viiden kuudesosan enemmistö	five-sixths majority	
virkamiesaitio		tjänstemannabåset
virkamiesaitio	box reserved for parliamentary officials	
voimaansaattamislaki		ikraftträdandelag
voimaansaattamislaki		lag om att sätta i kraft ett fördrag
voimaansaattamislaki		lag om ikraftträdande
voimaansaattamislaki		lag om ikraftträdande av ett fördrag
voimaansaattamislaki		lag om sättande i kraft av ett fördrag
voimaansaattamislaki	act bringing into force a treaty	
voimaantulosäännös		ikraftträdandebestämmelse
voimaantulosäännös	commencement provision	
voimaantulosäännös	entry-into-force provision	
vähentää määrärahaa		minska anslag
vähentää määrärahaa	decrease an appropriation	
välihuuto		inpass
välihuuto	interjection	
välikysymys		IP
välikysymys		interpellation
välikysymys	interpellation	
välikysymys	motion of censure	
välittömät, suhteelliset ja salaiset vaalit		direkta, proportionella och hemliga val
välittömät, suhteelliset ja salaiset vaalit	direct, proportional and secret elections	
välittömät, suhteelliset ja salaiset vaalit	direct, proportional and secret vote	
yhdentymisasia		I-ärende
yhdentymisasia		integrationsärende
yhdentymisasia	integration matter	
yhteiskuuleminen		gemensam utfrågning
yhteiskuuleminen	joint hearing of experts	
yhteislista		gemensam lista
yhteislista	joint list	
yhteistoimintaryhmä		samverkansgrupp
yhteistoimintaryhmä	action group	
yhteistoimintaryhmä	solidarity group	
yksi käsittely		en behandling
yksi käsittely	approval reading	
yksi käsittely	one reading	
yksikamarinen kansanedustuslaitos		enkammarparlament
yksikamarinen kansanedustuslaitos		enkammarriksdag
yksikamarinen kansanedustuslaitos	unicameral legislature	
yksimielinen vaali		enhälligt val
yksimielinen vaali		sämjoval
yksimielinen vaali		val med acklamation
yksimielinen vaali	consensus election	
yksinkertainen päiväjärjestykseen siirtyminen		enkel övergång till dagordningen
yksinkertainen päiväjärjestykseen siirtyminen	simple proceeding to the agenda	
yksinkertainen ääntenenemmistö		enkel majoritet
yksinkertainen ääntenenemmistö	simple majority	
yksityiskohtainen käsittely		detaljbehandling
yksityiskohtainen käsittely		detaljbehandling i utskott
yksityiskohtainen käsittely		detaljerad behandling
yksityiskohtainen käsittely		detaljerad behandling i utskott
yksityiskohtainen käsittely	consideration in detail	
yleinen ja yhtäläinen äänioikeus		allmän och lika rösträtt
yleinen ja yhtäläinen äänioikeus	universal suffrage	
yleiskeskustelu		allmän debatt
yleiskeskustelu		allmän debatt i utskott
yleiskeskustelu	general committee debate	
yleiskeskustelu	general debate	
yleislaki		allmän lag
yleislaki	general act	
yleisölehteri		läktaren
yleisölehteri		publikläktaren
yleisölehteri		åhörarläktaren
yleisölehteri	gallery	
yleisölehteri	public gallery	
yleisölehteri	visitors' gallery	
yleisöparveke		läktaren
yleisöparveke		publikläktaren
yleisöparveke		åhörarläktaren
yleisöparveke	gallery	
yleisöparveke	public gallery	
yleisöparveke	visitors' gallery	
yleisöparvi		läktaren
yleisöparvi		publikläktaren
yleisöparvi		åhörarläktaren
yleisöparvi	gallery	
yleisöparvi	public gallery	
yleisöparvi	visitors' gallery	
ympäristövaliokunta		MiU
ympäristövaliokunta		miljöutskottet
ympäristövaliokunta	Environment Committee	
ystävyysryhmä		vänskapsgrupp
ystävyysryhmä	friendship group	
äänestys		omröstning
äänestys		röstning
äänestys		votering
äänestys	vote	
äänestys	voting	
äänestys seisomaan nousten		omröstning genom att resa sig
äänestys seisomaan nousten		omröstning med uppresning
äänestys seisomaan nousten		votering med uppresning
äänestys seisomaan nousten	vote by rising from one’s seat	
äänestys umpilipuin		omröstning med slutna sedlar
äänestys umpilipuin		sluten omröstning
äänestys umpilipuin	closed-ballot vote	
äänestys umpilipuin	vote by closed ballot	
äänestys umpilipuin	vote by secret ballot	
äänestysalue		röstningsområde
äänestysalue	voting district	
äänestysasettelu		omröstningsordning
äänestysasettelu		voteringsordning
äänestysasettelu	order of voting	
äänestysasettelu	voting order	
äänestysesitys		omröstningsförslag
äänestysesitys		voteringsförslag
äänestysesitys		voteringsproposition
äänestysesitys	motion for a vote	
äänestysesitys	voting proposal	
äänestysjakauma		fördelning av rösterna
äänestysjakauma		röstfördelning
äänestysjakauma	distribution of votes	
äänestysjärjestelmä		omröstningssystem
äänestysjärjestelmä		voteringsanläggning
äänestysjärjestelmä		voteringssystem
äänestysjärjestelmä	electronic voting system	
äänestysjärjestys		omröstningsordning
äänestysjärjestys		voteringsordning
äänestysjärjestys	order of voting	
äänestysjärjestys	voting order	
äänestyskoppi		röstningsbås
äänestyskoppi		valbås
äänestyskoppi	voting booth	
äänestyskutsu		kalla till omröstning
äänestyskutsu		kallelse till omröstning
äänestyskutsu		voteringssignal
äänestyskutsu	call to vote	
äänestysliite		omröstningsbilaga
äänestysliite		voteringsbilaga
äänestysliite	vote tallies	
äänestysliite	voting records	
äänestyslippu		sedel
äänestyslippu		valsedel
äänestyslippu	ballot	
äänestyspainike		röstningsknapp
äänestyspainike		voteringsknapp
äänestyspainike	voting button	
äänestysuurna		urna
äänestysuurna		valurna
äänestysuurna	ballot box	
äänestysuurna	ballot receptacle	
äänestäjä		röstande
äänestäjä		väljare
äänestäjä	voter	
ääniharava		röstmagnet
ääniharava	vote magnet	
äänijakauma		fördelning av rösterna
äänijakauma		röstfördelning
äänijakauma	distribution of votes	
äänikynnys		riksdagsspärr
äänikynnys		rösttröskel
äänikynnys		spärr
äänikynnys	vote threshold	
äänioikeus		rösträtt
äänioikeus	right to vote	
äänioikeus	suffrage	
äänioikeusrekisteri		rösträttsregister
äänioikeusrekisteri	electoral register	
äänioikeusrekisteri	voting register	
äänioikeutettu		röstberättigad
äänioikeutettu	eligible voter	
äänioikeutettu	entitled to vote	
äänten jakautuminen		fördelning av rösterna
äänten jakautuminen		röstfördelning
äänten jakautuminen	distribution of votes	
äänten tarkastuslaskenta		kontrollräkning av rösterna
äänten tarkastuslaskenta	recount	
äänten tarkastuslaskenta	vote recount	
ääntenjakauma		fördelning av rösterna
ääntenjakauma		röstfördelning
ääntenjakauma	distribution of votes	
ääntenjakaumataulu		omröstningstavla
ääntenjakaumataulu		voteringstablå
ääntenjakaumataulu		voteringstavla
ääntenjakaumataulu	vote-distribution display	
ääntenjakaumataulu	vote-distribution display panel	
ääntenjakautumistaulu		omröstningstavla
ääntenjakautumistaulu		voteringstablå
ääntenjakautumistaulu		voteringstavla
ääntenjakautumistaulu	vote-distribution display	
ääntenjakautumistaulu	vote-distribution display panel	
ääntenlaskija		rösträknare
ääntenlaskija	vote counter	
ääntenlaskija	vote teller	
